date,location,station,avg_temp,min_temp,max_temp,precipitation,humidity,year,month,day,month_name,season,temp_30d_avg,rain_30d_avg
2010-01-01,Pune,ST001,25.23,19.54,31.64,0.39,41,2010,1,1,January,Winter,25.23,0.39
2010-01-02,Pune,ST001,23.97,19.81,31.91,0.81,64,2010,1,2,January,Winter,24.6,0.6000000000000001
2010-01-03,Pune,ST001,25.84,20.04,33.59,3.72,42,2010,1,3,January,Winter,25.013333333333332,1.64
2010-01-04,Pune,ST001,27.9,21.59,35.35,0.23,44,2010,1,4,January,Winter,25.735,1.2875
2010-01-05,Pune,ST001,24.17,17.89,31.73,0.37,49,2010,1,5,January,Winter,25.422,1.104
2010-01-06,Pune,ST001,24.31,18.98,30.18,0.9,45,2010,1,6,January,Winter,25.236666666666665,1.07
2010-01-07,Pune,ST001,28.44,23.17,35.07,6.49,56,2010,1,7,January,Winter,25.694285714285716,1.8442857142857143
2010-01-08,Pune,ST001,26.79,22.36,34.37,2.5,52,2010,1,8,January,Winter,25.83125,1.92625
2010-01-09,Pune,ST001,24.2,18.73,29.77,2.38,49,2010,1,9,January,Winter,25.65,1.9766666666666666
2010-01-10,Pune,ST001,26.56,22.17,34.41,1.13,62,2010,1,10,January,Winter,25.740999999999996,1.8920000000000001
2010-01-11,Pune,ST001,24.49,17.42,30.15,0.2,63,2010,1,11,January,Winter,25.627272727272725,1.7381818181818183
2010-01-12,Pune,ST001,24.62,16.75,31.02,3.93,44,2010,1,12,January,Winter,25.543333333333333,1.9208333333333334
2010-01-13,Pune,ST001,26.31,18.43,33.15,0.13,45,2010,1,13,January,Winter,25.60230769230769,1.783076923076923
2010-01-14,Pune,ST001,21.7,14.24,29.5,2.45,52,2010,1,14,January,Winter,25.323571428571427,1.8307142857142857
2010-01-15,Pune,ST001,22.25,15.84,27.23,0.04,61,2010,1,15,January,Winter,25.118666666666666,1.7113333333333334
2010-01-16,Pune,ST001,24.94,18.13,31.92,0.64,51,2010,1,16,January,Winter,25.107499999999998,1.644375
2010-01-17,Pune,ST001,24.08,18.94,30.16,2.7,40,2010,1,17,January,Winter,25.04705882352941,1.7064705882352942
2010-01-18,Pune,ST001,27.13,20.61,32.2,0.01,62,2010,1,18,January,Winter,25.162777777777777,1.6122222222222222
2010-01-19,Pune,ST001,24.57,18.75,31.68,1.17,59,2010,1,19,January,Winter,25.13157894736842,1.5889473684210527
2010-01-20,Pune,ST001,23.59,17.66,29.8,3.21,46,2010,1,20,January,Winter,25.054499999999997,1.67
2010-01-21,Pune,ST001,30.05,23.02,36.7,1.3,61,2010,1,21,January,Winter,25.292380952380952,1.6523809523809525
2010-01-22,Pune,ST001,26.46,21.33,31.75,0.82,64,2010,1,22,January,Winter,25.345454545454547,1.6145454545454547
2010-01-23,Pune,ST001,27.23,21.96,33.16,1.28,55,2010,1,23,January,Winter,25.42739130434783,1.5999999999999999
2010-01-24,Pune,ST001,24.08,16.38,30.54,0.03,41,2010,1,24,January,Winter,25.37125,1.5345833333333332
2010-01-25,Pune,ST001,26.14,21.91,31.76,0.66,55,2010,1,25,January,Winter,25.401999999999997,1.4996
2010-01-26,Pune,ST001,27.7,21.76,32.5,1.43,49,2010,1,26,January,Winter,25.490384615384617,1.496923076923077
2010-01-27,Pune,ST001,25.05,17.4,32.9,0.99,63,2010,1,27,January,Winter,25.47407407407407,1.4781481481481482
2010-01-28,Pune,ST001,28.53,22.09,34.58,0.59,51,2010,1,28,January,Winter,25.583214285714288,1.4464285714285714
2010-01-29,Pune,ST001,26.51,20.32,33.44,0.12,59,2010,1,29,January,Winter,25.615172413793104,1.4006896551724137
2010-01-30,Pune,ST001,27.31,22.31,32.95,0.95,48,2010,1,30,January,Winter,25.671666666666667,1.3856666666666666
2010-01-31,Pune,ST001,26.74,21.37,32.16,0.52,41,2010,1,31,January,Winter,25.721999999999998,1.3900000000000001
