date,location,station,avg_temp,min_temp,max_temp,precipitation,humidity
2010-01-01,Pune,ST001,25.23,19.54,31.64,0.39,41
2010-01-02,Pune,ST001,23.97,19.81,31.91,0.81,64
2010-01-03,Pune,ST001,25.84,20.04,33.59,3.72,42
2010-01-04,Pune,ST001,27.9,21.59,35.35,0.23,44
2010-01-05,Pune,ST001,24.17,17.89,31.73,0.37,49
2010-01-06,Pune,ST001,24.31,18.98,30.18,0.9,45
2010-01-07,Pune,ST001,28.44,23.17,35.07,6.49,56
2010-01-08,Pune,ST001,26.79,22.36,34.37,2.5,52
2010-01-09,Pune,ST001,24.2,18.73,29.77,2.38,49
2010-01-10,Pune,ST001,26.56,22.17,34.41,1.13,62
2010-01-11,Pune,ST001,24.49,17.42,30.15,0.2,63
2010-01-12,Pune,ST001,24.62,16.75,31.02,3.93,44
2010-01-13,Pune,ST001,26.31,18.43,33.15,0.13,45
2010-01-14,Pune,ST001,21.7,14.24,29.5,2.45,52
2010-01-15,Pune,ST001,22.25,15.84,27.23,0.04,61
2010-01-16,Pune,ST001,24.94,18.13,31.92,0.64,51
2010-01-17,Pune,ST001,24.08,18.94,30.16,2.7,40
2010-01-18,Pune,ST001,27.13,20.61,32.2,0.01,62
2010-01-19,Pune,ST001,24.57,18.75,31.68,1.17,59
2010-01-20,Pune,ST001,23.59,17.66,29.8,3.21,46
2010-01-21,Pune,ST001,30.05,23.02,36.7,1.3,61
2010-01-22,Pune,ST001,26.46,21.33,31.75,0.82,64
2010-01-23,Pune,ST001,27.23,21.96,33.16,1.28,55
2010-01-24,Pune,ST001,24.08,16.38,30.54,0.03,41
2010-01-25,Pune,ST001,26.14,21.91,31.76,0.66,55
2010-01-26,Pune,ST001,27.7,21.76,32.5,1.43,49
2010-01-27,Pune,ST001,25.05,17.4,32.9,0.99,63
2010-01-28,Pune,ST001,28.53,22.09,34.58,0.59,51
2010-01-29,Pune,ST001,26.51,20.32,33.44,0.12,59
2010-01-30,Pune,ST001,27.31,22.31,32.95,0.95,48
2010-01-31,Pune,ST001,26.74,21.37,32.16,0.52,41
2010-02-01,Pune,ST001,32.26,24.85,37.89,2.72,61
2010-02-02,Pune,ST001,28.27,22.03,33.91,2.49,55
2010-02-03,Pune,ST001,26.09,20.03,32.27,0.55,47
2010-02-04,Pune,ST001,30.34,25.94,36.51,2.71,54
2010-02-05,Pune,ST001,25.96,21.89,31.95,0.84,45
2010-02-06,Pune,ST001,29.21,21.36,33.75,0.95,41
2010-02-07,Pune,ST001,24.55,19.05,30.54,0.61,45
2010-02-08,Pune,ST001,26.05,19.64,30.73,0.85,48
2010-02-09,Pune,ST001,29.51,25.19,34.02,1.27,42
2010-02-10,Pune,ST001,30.81,24.08,38.54,1.58,52
2010-02-11,Pune,ST001,29.67,21.94,36.09,0.59,59
2010-02-12,Pune,ST001,29.14,22.84,35.78,0.25,53
2010-02-13,Pune,ST001,28.83,24.33,34.44,1.92,54
2010-02-14,Pune,ST001,26.34,,33.98,2.35,61
2010-02-15,Pune,ST001,28.11,21.04,34.66,1.96,62
2010-02-16,Pune,ST001,28.77,23.15,35.85,0.95,48
2010-02-17,Pune,ST001,32.21,24.69,37.68,0.34,64
2010-02-18,Pune,ST001,30.73,24.13,38.57,3.27,45
2010-02-19,Pune,ST001,26.18,18.59,33.47,3.15,53
2010-02-20,Pune,ST001,39.7253691201993,24.37,38.28,1.2,41
2010-02-21,Pune,ST001,29.39,24.87,34.08,0.66,60
2010-02-22,Pune,ST001,28.84,23.6,33.92,1.01,43
2010-02-23,Pune,ST001,31.75,26.95,36.9,0.75,48
2010-02-24,Pune,ST001,32.76,25.12,37.84,0.83,52
2010-02-25,Pune,ST001,32.62,25.58,40.04,2.4,50
2010-02-26,Pune,ST001,28.8,22.09,32.93,2.9,43
2010-02-27,Pune,ST001,30.04,24.84,34.35,2.16,42
2010-02-28,Pune,ST001,31.52,26.79,36.62,0.04,61
2010-03-01,Pune,ST001,33.01,25.99,37.81,0.61,42
2010-03-02,Pune,ST001,29.88,23.99,34.81,0.37,37
2010-03-03,Pune,ST001,30.6,25.69,37.79,0.04,30
2010-03-04,Pune,ST001,28.64,22.17,34.89,0.54,42
2010-03-05,Pune,ST001,28.5,24.34,32.52,1.94,38
2010-03-06,Pune,ST001,32.98,27.68,38.7,0.5,34
2010-03-07,Pune,ST001,34.24,28.36,39.87,0.28,38
2010-03-08,Pune,ST001,31.15,26.56,35.61,,38
2010-03-09,Pune,ST001,33.57,25.63,40.28,1.66,41
2010-03-10,Pune,ST001,32.21,27.38,39.02,0.83,32
2010-03-11,Pune,ST001,30.05,25.53,36.93,0.81,31
2010-03-12,Pune,ST001,32.31,27.5,39.23,0.22,45
2010-03-13,Pune,ST001,34.95,27.87,38.95,0.45,43
2010-03-14,Pune,ST001,31.53,25.83,39.34,2.31,42
2010-03-15,Pune,ST001,35.09,28.83,42.35,2.72,50
2010-03-16,Pune,ST001,25.92,21.84,33.54,1.03,44
2010-03-17,Pune,ST001,33.53,29.39,37.59,1.29,49
2010-03-18,Pune,ST001,31.95,26.17,39.69,0.26,47
2010-03-19,Pune,ST001,31.13,23.87,38.37,2.06,47
2010-03-20,Pune,ST001,32.02,24.48,39.37,0.3,34
2010-03-21,Pune,ST001,27.48,23.13,31.85,0.52,47
2010-03-22,Pune,ST001,31.39,25.24,38.35,0.47,33
2010-03-23,Pune,ST001,32.68,25.03,40.52,2.26,53
2010-03-24,Pune,ST001,35.17,29.62,41.88,0.18,35
2010-03-25,Pune,ST001,30.8,23.48,37.08,0.0,45
2010-03-26,Pune,ST001,30.17,25.64,37.96,0.65,33
2010-03-27,Pune,ST001,30.86,23.12,36.63,1.54,38
2010-03-28,Pune,ST001,33.99,26.99,40.39,0.97,37
2010-03-29,Pune,ST001,32.71,24.94,38.62,0.26,38
2010-03-30,Pune,ST001,30.83,24.12,38.56,2.3,31
2010-03-31,Pune,ST001,33.13,27.67,37.43,1.68,34
2010-04-01,Pune,ST001,32.21,24.46,38.22,0.41,31
2010-04-02,Pune,ST001,34.13,29.03,40.88,0.18,39
2010-04-03,Pune,ST001,30.45,25.12,37.62,0.08,41
2010-04-04,Pune,ST001,31.27,24.47,37.6,0.45,42
2010-04-05,Pune,ST001,31.12,24.06,38.76,0.93,45
2010-04-06,Pune,ST001,28.75,21.04,36.52,1.21,50
2010-04-07,Pune,ST001,32.61,27.79,36.87,1.32,52
2010-04-08,Pune,ST001,32.52,25.33,38.13,0.52,30
2010-04-09,Pune,ST001,31.94,24.99,36.04,2.78,41
2010-04-10,Pune,ST001,31.39,27.14,36.71,0.19,39
2010-04-11,Pune,ST001,28.78,23.23,34.92,1.47,37
2010-04-12,Pune,ST001,30.94,25.81,38.58,0.05,39
2010-04-13,Pune,ST001,31.08,25.87,38.47,0.53,44
2010-04-14,Pune,ST001,30.05,22.11,34.56,0.94,33
2010-04-15,Pune,ST001,31.42,24.85,35.8,0.64,41
2010-04-16,Pune,ST001,32.63,25.76,38.99,0.42,44
2010-04-17,Pune,ST001,35.86,27.95,41.99,1.46,35
2010-04-18,Pune,ST001,32.06,26.55,37.12,0.2,30
2010-04-19,Pune,ST001,32.2,24.99,39.8,3.03,43
2010-04-20,Pune,ST001,31.43,25.69,39.14,1.55,30
2010-04-21,Pune,ST001,27.32,19.85,32.93,0.15,35
2010-04-22,Pune,ST001,31.44,26.72,39.0,0.07,54
2010-04-23,Pune,ST001,31.58,23.79,37.12,0.08,34
2010-04-24,Pune,ST001,36.82,31.94,43.76,2.11,48
2010-04-25,Pune,ST001,30.92,25.62,36.83,0.37,42
2010-04-26,Pune,ST001,31.95,24.93,36.44,0.25,31
2010-04-27,Pune,ST001,31.16,25.58,38.87,0.32,47
2010-04-28,Pune,ST001,28.6,22.17,34.42,1.59,42
2010-04-29,Pune,ST001,33.62,27.85,40.56,0.15,44
2010-04-30,Pune,ST001,32.7,25.73,38.17,1.16,39
2010-05-01,Pune,ST001,32.72,27.81,36.8,0.11,54
2010-05-02,Pune,ST001,28.91,24.68,33.31,2.33,37
2010-05-03,Pune,ST001,33.93,28.73,39.91,0.74,51
2010-05-04,Pune,ST001,27.68,21.79,34.44,0.23,42
2010-05-05,Pune,ST001,31.98,27.31,37.32,0.41,47
2010-05-06,Pune,ST001,35.44,30.02,42.22,0.35,38
2010-05-07,Pune,ST001,28.36,22.76,35.15,0.5,47
2010-05-08,Pune,ST001,29.21,24.98,36.03,1.38,54
2010-05-09,Pune,ST001,30.6,24.26,36.57,1.41,37
2010-05-10,Pune,ST001,29.19,21.65,36.84,2.19,50
2010-05-11,Pune,ST001,26.8,22.19,32.75,1.7,44
2010-05-12,Pune,ST001,30.27,23.88,36.07,1.78,50
2010-05-13,Pune,ST001,27.69,21.03,32.49,1.04,36
2010-05-14,Pune,ST001,30.98,25.3,36.21,0.91,36
2010-05-15,Pune,ST001,27.82,21.02,31.99,0.68,42
2010-05-16,Pune,ST001,33.16,27.52,39.69,0.55,36
2010-05-17,Pune,ST001,27.93,21.91,32.92,1.22,40
2010-05-18,Pune,ST001,28.85,24.82,34.06,0.12,49
2010-05-19,Pune,ST001,31.25,24.48,38.33,0.35,37
2010-05-20,Pune,ST001,26.65,20.0,31.96,3.71,34
2010-05-21,Pune,ST001,29.75,25.6,34.72,0.07,44
2010-05-22,Pune,ST001,32.02,26.55,36.7,1.4,44
2010-05-23,Pune,ST001,25.5,17.59,32.6,0.43,47
2010-05-24,Pune,ST001,29.34,23.66,33.86,0.75,45
2010-05-25,Pune,ST001,29.4,23.39,35.21,0.05,31
2010-05-26,Pune,ST001,30.43,22.79,36.46,0.58,43
2010-05-27,Pune,ST001,25.88,19.01,32.63,0.63,54
2010-05-28,Pune,ST001,25.58,19.25,32.12,0.41,53
2010-05-29,Pune,ST001,29.52,22.33,36.76,0.7,50
2010-05-30,Pune,ST001,28.91,21.45,33.09,0.1,33
2010-05-31,Pune,ST001,28.69,22.86,33.88,0.85,31
2010-06-01,Pune,ST001,28.78,22.88,33.91,11.31,87
2010-06-02,Pune,ST001,26.41,20.86,30.99,14.03,72
2010-06-03,Pune,ST001,28.29,20.43,33.45,26.13,88
2010-06-04,Pune,ST001,28.31,21.52,33.54,10.79,83
2010-06-05,Pune,ST001,25.97,21.63,32.05,5.94,78
2010-06-06,Pune,ST001,31.52,24.07,38.17,4.99,86
2010-06-07,Pune,ST001,28.33,22.41,33.86,20.15,92
2010-06-08,Pune,ST001,24.54,20.27,31.42,4.42,73
2010-06-09,Pune,ST001,28.48,22.28,33.82,13.85,91
2010-06-10,Pune,ST001,24.76,19.09,29.92,26.84,75
2010-06-11,Pune,ST001,28.51,21.0,34.68,13.3,90
2010-06-12,Pune,ST001,29.2,24.38,33.29,8.62,94
2010-06-13,Pune,ST001,24.71,17.41,29.03,2.21,73
2010-06-14,Pune,ST001,28.51,22.28,34.18,32.28,88
2010-06-15,Pune,ST001,27.16,22.95,34.94,18.0,73
2010-06-16,Pune,ST001,27.93,20.05,34.82,16.3,88
2010-06-17,Pune,ST001,30.16,24.11,34.52,2.1,76
2010-06-18,Pune,ST001,25.32,20.15,32.7,2.5,86
2010-06-19,Pune,ST001,24.07,18.19,30.99,17.94,87
2010-06-20,Pune,ST001,23.63,16.2,30.08,6.02,75
2010-06-21,Pune,ST001,23.66,18.44,30.94,7.34,74
2010-06-22,Pune,ST001,25.15,20.38,30.77,10.75,70
2010-06-23,Pune,ST001,25.93,21.42,30.82,12.11,84
2010-06-24,Pune,ST001,25.66,20.46,31.7,22.71,79
2010-06-25,Pune,ST001,26.73,19.61,32.92,19.59,90
2010-06-26,Pune,ST001,24.8,18.92,30.95,4.48,92
2010-06-27,Pune,ST001,27.83,22.92,34.09,17.15,87
2010-06-28,Pune,ST001,23.92,19.25,31.71,4.94,81
2010-06-29,Pune,ST001,30.35,25.01,37.95,4.66,88
2010-06-30,Pune,ST001,25.6,17.84,33.1,2.47,81
2010-07-01,Pune,ST001,22.2,16.83,29.41,14.2,72
2010-07-02,Pune,ST001,21.59,13.64,29.37,14.61,89
2010-07-03,Pune,ST001,24.87,18.93,29.27,10.56,87
2010-07-04,Pune,ST001,23.18,18.46,28.24,3.48,85
2010-07-05,Pune,ST001,25.11,17.54,31.09,1.96,92
2010-07-06,Pune,ST001,24.44,18.6,31.83,15.35,79
2010-07-07,Pune,ST001,23.1,16.26,29.12,21.96,75
2010-07-08,Pune,ST001,21.26,13.33,28.25,4.14,88
2010-07-09,Pune,ST001,19.66,15.45,24.21,9.74,84
2010-07-10,Pune,ST001,21.87,17.48,26.88,9.89,72
2010-07-11,Pune,ST001,24.6,17.72,31.53,15.64,85
2010-07-12,Pune,ST001,23.05,17.92,27.71,16.34,81
2010-07-13,Pune,ST001,19.7,14.97,25.11,4.56,81
2010-07-14,Pune,ST001,22.69,18.53,27.75,2.85,86
2010-07-15,Pune,ST001,23.02,18.94,28.42,5.19,73
2010-07-16,Pune,ST001,20.1,13.0,26.93,3.99,93
2010-07-17,Pune,ST001,22.25,17.71,27.72,29.54,85
2010-07-18,Pune,ST001,21.9,16.03,28.13,7.41,91
2010-07-19,Pune,ST001,19.13,12.71,23.53,16.14,85
2010-07-20,Pune,ST001,22.3,16.59,29.52,9.26,85
2010-07-21,Pune,ST001,22.62,18.51,28.1,15.23,74
2010-07-22,Pune,ST001,23.64,16.5,30.23,5.17,84
